# eps=0 u'(0)=0
0 1
1e-06 1
0.000101 1
0.000301 1
0.000701 1
0.001501 1
0.003101 1
0.006301 1
0.012701 1
0.025501 1
0.051101 1
0.102301 1
0.204701 1
0.404701 1
0.604701 1
0.804701 1
1.0047 1
1.2047 1
1.4047 1
1.6047 1
1.8047 1
2.0047 1
2.2047 1
2.4047 1
2.6047 1
2.8047 1
3.0047 1
3.2047 1
3.4047 1
3.6047 1
3.8047 1
4.0047 1
4.2047 1
4.4047 1
4.6047 1
4.8047 1
5.0047 1
5.2047 1
5.4047 1
5.6047 1
5.8047 1
6.0047 1
6.2047 1
6.4047 1
6.6047 1
6.8047 1
7.0047 1
7.2047 1
7.4047 1
7.6047 1
7.8047 1
8.0047 1
8.2047 1
8.4047 1
8.6047 1
8.8047 1
9.0047 1
9.2047 1
9.4047 1
9.6047 1
9.8047 1
10.0047 1
10.2047 1
10.4047 1
10.6047 1
10.8047 1
11.0047 1
11.2047 1
11.4047 1
11.6047 1
11.8047 1
12.0047 1
12.2047 1
12.4047 1
12.6047 1
12.8047 1
13.0047 1
13.2047 1
13.4047 1
13.6047 1
13.8047 1
14.0047 1
14.2047 1
14.4047 1
14.6047 1
14.8047 1
15.0047 1
15.2047 1
15.4047 1
15.6047 1
15.8047 1
16.0047 1
16.2047 1
16.4047 1
16.6047 1
16.8047 1
17.0047 1
17.2047 1
17.4047 1
17.6047 1
17.8047 1
18.0047 1
18.2047 1
18.4047 1
18.6047 1
18.8047 1
19.0047 1
19.2047 1
19.4047 1
19.6047 1
19.8047 1
20.0047 1
20.2047 1
20.4047 1
20.6047 1
20.8047 1
21.0047 1
21.2047 1
21.4047 1
21.6047 1
21.8047 1
22.0047 1
22.2047 1
22.4047 1
22.6047 1
22.8047 1
23.0047 1
23.2047 1
23.4047 1
23.6047 1
23.8047 1
24.0047 1
24.2047 1
24.4047 1
24.6047 1
24.8047 1
25.0047 1
25.1327 1


# eps=0 u'(0)=-0.5
0 1
1e-06 1
0.000101 0.99995
0.000209315 0.999895
0.000323174 0.999838
0.000440641 0.99978
0.000560419 0.99972
0.000681665 0.999659
0.000803836 0.999598
0.000926587 0.999537
0.0010497 0.999475
0.00117305 0.999413
0.00129653 0.999352
0.0014201 0.99929
0.00154373 0.999228
0.00166739 0.999166
0.00179106 0.999104
0.00191475 0.999043
0.00203845 0.998981
0.00216215 0.998919
0.00228585 0.998857
0.00240955 0.998795
0.00253325 0.998733
0.00265695 0.998672
0.00278065 0.99861
0.00290434 0.998548
0.00302803 0.998486
0.00315173 0.998424
0.00327541 0.998362
0.0033991 0.9983
0.00352279 0.998239
0.00364647 0.998177
0.00377015 0.998115
0.00389383 0.998053
0.0040175 0.997991
0.00414118 0.997929
0.00426485 0.997868
0.00438852 0.997806
0.00451219 0.997744
0.00463585 0.997682
0.00475952 0.99762
0.00488318 0.997558
0.00500683 0.997497
0.00513049 0.997435
0.00525415 0.997373
0.0053778 0.997311
0.00550145 0.997249
0.0056251 0.997187
0.00574874 0.997126
0.00587239 0.997064
0.00599603 0.997002
0.00611967 0.99694
0.0062433 0.996878
0.00636694 0.996817
0.00649057 0.996755
0.0066142 0.996693
0.00673783 0.996631
0.00686146 0.996569
0.00698508 0.996507
0.00710871 0.996446
0.00723233 0.996384
0.00735594 0.996322
0.00747956 0.99626
0.00760317 0.996198
0.00772678 0.996137
0.00785039 0.996075
0.007974 0.996013
0.0080976 0.995951
0.00822121 0.995889
0.00834481 0.995828
0.00846841 0.995766
0.008592 0.995704
0.0087156 0.995642
0.00883919 0.99558
0.00896278 0.995519
0.00908637 0.995457
0.00920995 0.995395
0.00933353 0.995333
0.00945712 0.995272
0.00958069 0.99521
0.00970427 0.995148
0.00982785 0.995086
0.00995142 0.995024
0.010075 0.994963
0.0101986 0.994901
0.0103221 0.994839
0.0104457 0.994777
0.0105692 0.994715
0.0106928 0.994654
0.0108164 0.994592
0.0109399 0.99453
0.0110635 0.994468
0.011187 0.994407
0.0113106 0.994345
0.0114341 0.994283
0.0115577 0.994221
0.0116812 0.99416
0.0118047 0.994098
0.0119283 0.994036
0.0120518 0.993974
0.0121754 0.993912
0.0122989 0.993851
0.0124224 0.993789
0.0125459 0.993727
0.0126695 0.993665
0.012793 0.993604
0.0129165 0.993542
0.01304 0.99348
0.0131635 0.993418
0.0132871 0.993357
0.0134106 0.993295
0.0135341 0.993233
0.0136576 0.993171
0.0137811 0.99311
0.0139046 0.993048
0.0140281 0.992986
0.0141516 0.992924
0.0142751 0.992863
0.0143986 0.992801
0.0145221 0.992739
0.0146456 0.992677
0.0147691 0.992616
0.0148925 0.992554
0.015016 0.992492
0.0151395 0.992431
0.015263 0.992369
0.0153865 0.992307
0.0155099 0.992245
0.0156334 0.992184
0.0157569 0.992122
0.0158804 0.99206
0.0160038 0.991998
0.0161273 0.991937
0.0162507 0.991875
0.0163742 0.991813
0.0164977 0.991752
0.0166211 0.99169
0.0167446 0.991628
0.016868 0.991566
0.0169915 0.991505
0.0171149 0.991443
0.0172384 0.991381
0.0173618 0.99132
0.0174852 0.991258
0.0176087 0.991196
0.0177321 0.991134
0.0178556 0.991073
0.017979 0.991011
0.0181024 0.990949
0.0182258 0.990888
0.0183493 0.990826
0.0184727 0.990764
0.0185961 0.990702
0.0187195 0.990641
0.0188429 0.990579
0.0189664 0.990517
0.0190898 0.990456
0.0192132 0.990394
0.0193366 0.990332
0.01946 0.990271
0.0195834 0.990209
0.0197068 0.990147
0.0198302 0.990086
0.0199536 0.990024
0.020077 0.989962
0.0202004 0.9899
0.0203238 0.989839
0.0204472 0.989777
0.0205706 0.989715
0.0206939 0.989654
0.0208173 0.989592
0.0209407 0.98953
0.0210641 0.989469
0.0211874 0.989407
0.0213108 0.989345
0.0214342 0.989284
0.0215576 0.989222
0.0216809 0.98916
0.0218043 0.989099
0.0219277 0.989037
0.022051 0.988975
0.0221744 0.988914
0.0222977 0.988852
0.0224211 0.98879
0.0225444 0.988729
0.0226678 0.988667
0.0227911 0.988605
0.0229145 0.988544
0.0230378 0.988482
0.0231612 0.98842
0.0232845 0.988359
0.0234078 0.988297
0.0235312 0.988236
0.0236545 0.988174
0.0237778 0.988112
0.0239012 0.988051
0.0240245 0.987989
0.0241478 0.987927
0.0242711 0.987866
0.0243944 0.987804
0.0245178 0.987742
0.0246411 0.987681
0.0247644 0.987619
0.0248877 0.987557
0.025011 0.987496
0.0251343 0.987434
0.0252576 0.987373
0.0253809 0.987311
0.0255042 0.987249
0.0256275 0.987188
0.0257508 0.987126
0.0258741 0.987064
0.0259974 0.987003
0.0261207 0.986941
0.026244 0.98688
0.0263673 0.986818
0.0264905 0.986756
0.0266138 0.986695
0.0267371 0.986633
0.0268604 0.986571
0.0269836 0.98651
0.0271069 0.986448
0.0272302 0.986387
0.0273534 0.986325
0.0274767 0.986263
0.0276 0.986202
0.0277232 0.98614
0.0278465 0.986079
0.0279697 0.986017
0.028093 0.985955
0.0282163 0.985894
0.0283395 0.985832
0.0284628 0.985771
0.028586 0.985709
0.0287092 0.985647
0.0288325 0.985586
0.0289557 0.985524
0.029079 0.985463
0.0292022 0.985401
0.0293254 0.985339
0.0294487 0.985278
0.0295719 0.985216
0.0296951 0.985155
0.0298183 0.985093
0.0299415 0.985031
0.0300648 0.98497
0.030188 0.984908
0.0303112 0.984847
0.0304344 0.984785
0.0305576 0.984724
0.0306808 0.984662
0.030804 0.9846
0.0309272 0.984539
0.0310504 0.984477
0.0311736 0.984416
0.0312968 0.984354
0.03142 0.984293
0.0315432 0.984231
0.0316664 0.984169
0.0317896 0.984108
0.0319128 0.984046
0.032036 0.983985
0.0321592 0.983923
0.0322823 0.983862
0.0324055 0.9838
0.0325287 0.983739
0.0326519 0.983677
0.032775 0.983615
0.0328982 0.983554
0.0330214 0.983492
0.0331445 0.983431
0.0332677 0.983369
0.0333909 0.983308
0.033514 0.983246
0.0336372 0.983185
0.0337603 0.983123
0.0338835 0.983062
0.0340066 0.983
0.0341298 0.982938
0.0342529 0.982877
0.0343761 0.982815
0.0344992 0.982754
0.0346223 0.982692
0.0347455 0.982631
0.0348686 0.982569
0.0349917 0.982508
0.0351149 0.982446
0.035238 0.982385
0.0353611 0.982323
0.0354842 0.982262
0.0356074 0.9822
0.0357305 0.982139
0.0358536 0.982077
0.0359767 0.982016
0.0360998 0.981954
0.0362229 0.981892
0.036346 0.981831
0.0364691 0.981769
0.0365923 0.981708
0.0367154 0.981646
0.0368385 0.981585
0.0369615 0.981523
0.0370846 0.981462
0.0372077 0.9814
0.0373308 0.981339
0.0374539 0.981277
0.037577 0.981216
0.0377001 0.981154
0.0378232 0.981093
0.0379462 0.981031
0.0380693 0.98097
0.0381924 0.980908
0.0383155 0.980847
0.0384385 0.980785
0.0385616 0.980724
0.0386847 0.980662
0.0388077 0.980601
0.0389308 0.98054
0.0390539 0.980478
0.0391769 0.980417
0.0393 0.980355
0.039423 0.980294
0.0395461 0.980232
0.0396691 0.980171
0.0397922 0.980109
0.0399152 0.980048
0.0400383 0.979986
0.0401613 0.979925
0.0402843 0.979863
0.0404074 0.979802
0.0405304 0.97974
0.0406534 0.979679
0.0407765 0.979617
0.0408995 0.979556
0.0410225 0.979494
0.0411455 0.979433
0.0412686 0.979372
0.0413916 0.97931
0.0415146 0.979249
0.0416376 0.979187
0.0417606 0.979126
0.0418836 0.979064
0.0420066 0.979003
0.0421296 0.978941
0.0422527 0.97888
0.0423757 0.978819
0.0424987 0.978757
0.0426216 0.978696
0.0427446 0.978634
0.0428676 0.978573
0.0429906 0.978511
0.0431136 0.97845
0.0432366 0.978388
0.0433596 0.978327
0.0434826 0.978266
0.0436055 0.978204
0.0437285 0.978143
0.0438515 0.978081
0.0439745 0.97802
0.0440974 0.977958
0.0442204 0.977897
0.0443434 0.977836
0.0444663 0.977774
0.0445893 0.977713
0.0447123 0.977651
0.0448352 0.97759
0.0449582 0.977528
0.0450811 0.977467
0.0452041 0.977406
0.045327 0.977344
0.04545 0.977283
0.0455729 0.977221
0.0456959 0.97716
0.0458188 0.977099
0.0459417 0.977037
0.0460647 0.976976
0.0461876 0.976914
0.0463105 0.976853
0.0464335 0.976792
0.0465564 0.97673
0.0466793 0.976669
0.0468022 0.976607
0.0469251 0.976546
0.0470481 0.976485
0.047171 0.976423
0.0472939 0.976362
0.0474168 0.9763
0.0475397 0.976239
0.0476626 0.976178
0.0477855 0.976116
0.0479084 0.976055
0.0480313 0.975994
0.0481542 0.975932
0.0482771 0.975871
0.0484 0.975809
0.0485229 0.975748
0.0486458 0.975687
0.0487687 0.975625
0.0488916 0.975564
0.0490145 0.975503
0.0491373 0.975441
0.0492602 0.97538
0.0493831 0.975318
0.049506 0.975257
0.0496288 0.975196
0.0497517 0.975134
0.0498746 0.975073
0.0499974 0.975012
0.0501203 0.97495
0.0502432 0.974889
0.050366 0.974828
0.0504889 0.974766
0.0506117 0.974705
0.0507346 0.974644
0.0508574 0.974582
0.0509803 0.974521
0.0511031 0.97446
0.051226 0.974398
0.0513488 0.974337
0.0514717 0.974276
0.0515945 0.974214
0.0517173 0.974153
0.0518402 0.974092
0.051963 0.97403
0.0520858 0.973969
0.0522086 0.973908
0.0523315 0.973846
0.0524543 0.973785
0.0525771 0.973724
0.0526999 0.973662
0.0528227 0.973601
0.0529455 0.97354
0.0530684 0.973478
0.0531912 0.973417
0.053314 0.973356
0.0534368 0.973294
0.0535596 0.973233
0.0536824 0.973172
0.0538052 0.97311
0.053928 0.973049
0.0540508 0.972988
0.0541736 0.972926
0.0542963 0.972865
0.0544191 0.972804
0.0545419 0.972743
0.0546647 0.972681
0.0547875 0.97262
0.0549103 0.972559
0.055033 0.972497
0.0551558 0.972436
